13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ličko-senjska;Općina;Lovinac;KRPAN;PAVELIĆ;BRAJKOVIĆ;PAVIČIĆ;MILETIĆ;SEKULIĆ;TOMIČIĆ;ŽUPAN;RAČIĆ;VRKLJAN
Ličko-senjska;Općina;Perušić;HEĆIMOVIĆ;RUKAVINA;MILKOVIĆ;JURKOVIĆ;MURGIĆ;DASOVIĆ;KLOBUČAR;VUKELIĆ;ŠPOLJARIĆ;JURIŠIĆ
Ličko-senjska;Općina;Plitvička Jezera;BIĆANIĆ;DRAKULIĆ;VUKOVIĆ;PRICA;LUKETIĆ;ŽIGIĆ;HODAK;MATOVINA;ŠPEHAR;ŠPOLJARIĆ
Ličko-senjska;Općina;Udbina;VUKOBRATOVIĆ;RADOČAJ;UZELAC;CVJETIĆANIN;PERKOVIĆ;MOMČILOVIĆ;BASTA;RADAKOVIĆ;KNEŽEVIĆ;MARIĆ
Ličko-senjska;Općina;Vrhovine;HINIĆ;ČUDIĆ;DELIĆ;VUKMIROVIĆ;BOGDANOVIĆ;IVANČEVIĆ;UZELAC;BRAKUS;BIGA;STOJANOVIĆ
Virovitičko-podravska; ;;HORVAT;KOVAČ;KOVAČEVIĆ;ŠPOLJARIĆ;BLAŽEVIĆ;VUKOVIĆ;IVANOVIĆ;MOSLAVAC;KNEŽEVIĆ;BOŠNJAK
Virovitičko-podravska;Grad;Orahovica;POLJAK;BOLJKOVAC;MANDIĆ;KOVAČ;VULIĆ;NEKIĆ;JURLINA;MATEK;PERKOVIĆ;MARIČIĆ
Virovitičko-podravska;Grad;Slatina;MEDVED;HORVAT;KOKORIĆ;JUKIĆ;GRAHOVAC;KOVAČEVIĆ;KOVAČ;KLEMENT;RADOČAJ;MIKIĆ
Virovitičko-podravska;Grad;Virovitica;HORVAT;KOVAČEVIĆ;KOVAČ;MOSLAVAC;BLAŽEVIĆ;BIONDIĆ;VUKOVIĆ;PETROVIĆ;TOMLJANOVIĆ;ĐURĐEVIĆ
Virovitičko-podravska;Općina;Crnac;ŠPOLJARIĆ;BOŠNJAK;GRGURIĆ;SUDARIĆ;MAJETIĆ;GOLIK;VIDA;BAČMAGA;PLEŠA;BURCAR
Virovitičko-podravska;Općina;Čačinci;BUŠLJETA;JURLINA;SAMARDŽIĆ;ZUANOVIĆ;JUKIĆ;FARKAŠ;KRMPOTIĆ;ČAVIĆ;ERCEG;ZUBČIĆ
Virovitičko-podravska;Općina;Čađavica;KOKORIĆ;BUČANAC;MAĐAREVIĆ;HORVAT;MARTINČEVIĆ;LAZIĆ;MATIĆ;BOSAK;DOLINAC;KOVAČ
Virovitičko-podravska;Općina;Gradina;VILJEVAC;MOSLAVAC;RAJNOVIĆ;LUKAČEVIĆ;JURIŠIĆ;BROĐANAC;ŠPOLJARIĆ;MANDIĆ;PEIĆ;RADIĆ
Virovitičko-podravska;Općina;Lukač;BUKVIĆ;RIBIĆ;ŽIVKOVIĆ;PERIĆ;PETROVIĆ;BLAŽEVIĆ;IVOŠ;FEKETIJA;KNEŽEVIĆ;KRŠIĆ
Virovitičko-podravska;Općina;Mikleuš;BLAŽEVIĆ;TONC;PEJIĆ;KOKOŠKA;BALTIĆ;BILOBRK;LUKIĆ;DUNDOVIĆ;MIKLIĆ;RUKAVINA
Virovitičko-podravska;Općina;Nova Bukovica;BRAČUN;ŠKRNIČKI;DOLOVSKI;DORČAK;ĆOSIĆ;ŠTERL;KOLEMBUS;BILAVČIĆ;TEREK;ĐURIČIĆ
Virovitičko-podravska;Općina;Pitomača;IVANOVIĆ;RADELIĆ;BEGOVIĆ;KOVAČ;ŠAJN;JAKUPEC;ŠPOLJARIĆ;BEDEKOVIĆ;ĐANIĆ;MIHOKOVIĆ
Virovitičko-podravska;Općina;Sopje;RASTIJA;DVOJAK;MIKIĆ;TUŠEK;GRGIĆ;BOŠNJAK;KOKORIĆ;HRGETIĆ;MARIĆ;ANDROŠ
Virovitičko-podravska;Općina;Suhopolje;HORVAT;VUKOVIĆ;HODAK;KOVAČEVIĆ;MATOVINA;NEMET;SERTIĆ;NOVOSEL;HOLEC;BOŠNJAK
Virovitičko-podravska;Općina;Špišić Bukovica;BRLAS;KOMAR;KOVAČ;POSAVAC;BARTOLIĆ;MAJSTOROVIĆ;LULIĆ;KOVAČEVIĆ;MIKOLČIĆ;NOVOSEL
Virovitičko-podravska;Općina;Voćin;JOZIĆ;JAKOVIĆ;PERIĆ;TUNIĆ;GEGIĆ;ĐORĐEVIĆ;TAŠIĆ;SIMONOVIĆ;NIKOLIĆ;ČOVIĆ
Virovitičko-podravska;Općina;Zdenci;ČIŠ;BUŠLJETA;BIRO;ŠKORVAGA;BOŠNJAK;NEKIĆ;KOVAČIĆ;PANCER;ŠPOLJARIĆ;ŠORMAN
Požeško-slavonska; ;;GRGIĆ;KOVAČEVIĆ;MARIĆ;MARKOVIĆ;BOŠNJAK;TOMIĆ;SOLDO;BLAŽEVIĆ;PAVIĆ;VIDOVIĆ
Požeško-slavonska;Grad;Kutjevo;MARKOVIĆ;BARIĆ;GRGIĆ;BUDIMIR;GALIĆ;MARIĆ;KLJAJIĆ;BOŠNJAK;VASILJ;ANTUNOVIĆ
Požeško-slavonska;Grad;Lipik;ADŽIJEVIĆ;GRGIĆ;LJEVAKOVIĆ;KOMLJENOVIĆ;TUTIĆ;BOŽIĆ;STRAGA;MEAŠKI;ŠTIMAC;HORVAT
Požeško-slavonska;Grad;Pakrac;GRGIĆ;IVANOVIĆ;ŠIRAC;SUDAR;TUTIĆ;JOSIPOVIĆ;MARTINOVIĆ;HODAK;NENADOVIĆ;KRAJNOVIĆ
Požeško-slavonska;Grad;Pleternica;KOVAČEVIĆ;SOLDO;TOMIĆ;PEIĆ;ŠARIĆ;JAKOVLJEVIĆ;MILIČEVIĆ;BAKETARIĆ;BOŠNJAK;NOVAK
Požeško-slavonska;Grad;Požega;KOVAČEVIĆ;MARIĆ;SOLDO;VUKOVIĆ;BOŠNJAK;GALIĆ;DEVČIĆ;ŠARIĆ;GRGIĆ;HORVAT
Požeško-slavonska;Općina;Brestovac;MARKANJEVIĆ;ILIĆ;BLAŽEVIĆ;TOMIĆ;KNEŽEVIĆ;GRGIĆ;STOJČEVIĆ;LONČAREVIĆ;RODIĆ;MANDIĆ
Požeško-slavonska;Općina;Čaglin;KNEŽEVIĆ;JELIĆ;POLJAKOVIĆ;STANKOVIĆ;KRAJTNER;MARIĆ;VUKIĆ;MIČEVIĆ;HRČKA;KOVAČEVIĆ
Požeško-slavonska;Općina;Jakšić;BOŠNJAK;PEČUR;OBRADOVIĆ;PAVLOVIĆ;GRBEŠ;MARKOVIĆ;VIDOVIĆ;JAKOUBEK;BIONDIĆ;ŠULC
Požeško-slavonska;Općina;Kaptol;CIGANOVIĆ;JURIĆ;SVOBODA;PERIĆ;ZEBA;ANDRIJEVIĆ;IVANKOVIĆ;KLJAJIĆ;MARIĆ;GRGIĆ
Požeško-slavonska;Općina;Velika;ZEBA;GRGIĆ;VIDOVIĆ;KRALJEVIĆ;MATIJEVIĆ;BLAŽEVIĆ;KOVAČEVIĆ;ŠIPURA;LUKIĆ;IVIĆ
Brodsko-posavska; ;;KOVAČEVIĆ;MARIĆ;KNEŽEVIĆ;GRGIĆ;BABIĆ;BLAŽEVIĆ;JURIĆ;MARJANOVIĆ;BARIŠIĆ;OPAČAK
Brodsko-posavska;Grad;Nova Gradiška;KOVAČEVIĆ;ORŠULIĆ;KNEŽEVIĆ;MARJANOVIĆ;VONIĆ;KLARIĆ;MARIĆ;CINDRIĆ;TERZIĆ;PETROVIĆ
Brodsko-posavska;Grad;Slavonski Brod;MARIĆ;KOVAČEVIĆ;OPAČAK;JERKOVIĆ;JOZIĆ;BARIŠIĆ;STANIĆ;MITROVIĆ;GRGIĆ;BLAŽEVIĆ
Brodsko-posavska;Općina;Bebrina;GRGIĆ;JOZIĆ;MIRKOVIĆ;FERIĆ;KLJAJIĆ;OLUJEVIĆ;CRNAC;ŠTIVIĆ;DIKANOVIĆ;SOKOLOVIĆ
Brodsko-posavska;Općina;Brodski Stupnik;PRSKALO;ČULJAK;VRLJIĆ;CINDRIĆ;KRAJAČIĆ;SIROGLAVIĆ;JURIĆ;PERIĆ;GUBIĆ;ROSANDIĆ
Brodsko-posavska;Općina;Bukovlje;ALKOVIĆ;KOVAČEVIĆ;LUKIĆ;BARIŠIĆ;MARTIĆ;MARIĆ;JANKOVIĆ;MATIĆ;RASPASOVIĆ;FOGADIĆ
Brodsko-posavska;Općina;Cernik;MATOŠEVIĆ;SOKIĆ;TERZIĆ;VALEŠIĆ;BAKUNIĆ;CURIĆ;JURKOVIĆ;DOŠLIĆ;GRGIĆ;DUKANOVIĆ
Brodsko-posavska;Općina;Davor;MARJANOVIĆ;GELEMANOVIĆ;MATOŠEVIĆ;CIPRIĆ;BRLIĆ;ŠIŠIĆ;PIŠONIĆ;BENIĆ;ČMELJEŠEVIĆ;OLIĆ
Brodsko-posavska;Općina;Donji Andrijevci;ŽIVIĆ;MARKOVAC;SMOLČIĆ;SELETKOVIĆ;PERKOVIĆ;KOVAČEVIĆ;TOLIĆ;DEGMEČIĆ;GAVRAN;ARAČIĆ
Brodsko-posavska;Općina;Dragalić;STANIĆ;PETERLIK;IVANIŠEVIĆ;FILIPOVIĆ;BASARIĆ;BUNJEVAC;JOLIĆ;MATIJEVIĆ;PETRIČEVIĆ;ŠUPICA
Brodsko-posavska;Općina;Garčin;VIDAKOVIĆ;BUKVIĆ;JERKOVIĆ;BITUNJAC;VINKOVIĆ;KNEŽEVIĆ;POLIĆ;BABIĆ;PERKOVIĆ;SMOLJO
Brodsko-posavska;Općina;Gornja Vrba;ODOBAŠIĆ;MARTIĆ;JURIĆ;VULETA;LUCIĆ;MARIJIĆ;TOLIĆ;BARIŠIĆ;BRKIĆ;MARIĆ
Brodsko-posavska;Općina;Gornji Bogićevci;BUNGIĆ;KNEŽEVIĆ;KLARIĆ;ŠUGIĆ;JURIĆ;KRSTANAC;PRANKIĆ;KULJANAC;MARIĆ;PEREKOVIĆ
Brodsko-posavska;Općina;Gundinci;KOKANOVIĆ;MIHIĆ;KADIĆ;UŽAREVIĆ;KNEŽEVIĆ;VARZIĆ;KARAVIDOVIĆ;LUČIĆ;MARKOTIĆ;PUŠELJIĆ
Brodsko-posavska;Općina;Klakar;RAŠIĆ;LUCIĆ;STANIĆ;MIRKOVIĆ;LAKUŠIĆ;ZVIROTIĆ;BLAŽEVAC;GAČIĆ;TOLIĆ;BABOSELAC
Brodsko-posavska;Općina;Nova Kapela;DIDOVIĆ;MARIČEVIĆ;GAZDOVIĆ;BENKOVIĆ;RADIČEVIĆ;ŠTIMAC;CINDRIĆ;FILIPOVIĆ;PIŠONIĆ;MATIČEVIĆ
Brodsko-posavska;Općina;Okučani;TOMIĆ;ŠALIĆ;MIJATOVIĆ;DŽANIJA;KNEŽEVIĆ;BLAŽEVIĆ;ŠIMIĆ;PEJIĆ;DEBELJAK;KLJAJIĆ
Brodsko-posavska;Općina;Oprisavci;TERZIĆ;BERAKOVIĆ;OSTOJČIĆ;BLAŽEVIĆ;KURKUTOVIĆ;TREPŠIĆ;VUKOVIĆ;KOVAČEVIĆ;MIRKOVIĆ;VUKOVARAC
Brodsko-posavska;Općina;Oriovac;KEREKOVIĆ;PAVKOVIĆ;KOVAČEVIĆ;KOLUNDŽIĆ;JAGODAR;MARGETIĆ;MATOK;PAVIĆ;GALOVIĆ;ALADROVIĆ
Brodsko-posavska;Općina;Podcrkavlje;MIROSAVLJEVIĆ;ŠIMIĆ;JANKOVIĆ;ŠIMUNOVIĆ;MARJANOVIĆ;ABRAMOVIĆ;LOVAKOVIĆ;VALIĆ;ANDRIĆ;VUČINIĆ
Brodsko-posavska;Općina;Rešetari;DAUTOVIĆ;AKMAČIĆ;VLAOVIĆ;MARINOVIĆ;VUKŠIĆ;RUŠKAN;LALIĆ;GRGIĆ;BARTOLOVIĆ;MIKOLČEVIĆ
Brodsko-posavska;Općina;Sibinj;KOVAČEVIĆ;GRGUREVIĆ;JANKOVIĆ;ČELIKOVIĆ;GAVRAN;COLIĆ;KRIŽANOVIĆ;NOVAK;PUŠKARIĆ;LASIĆ
Brodsko-posavska;Općina;Sikirevci;ŽIVIĆ;LUČIĆ;NIKOLIĆ;JARIĆ;RAKITIĆ;JOSKIĆ;GALOVIĆ;BUDIMIR;RADOVANOVIĆ;ĐUZEL
Brodsko-posavska;Općina;Slavonski Šamac;BRANKOVIĆ;ĆOSIĆ;VUKSANOVIĆ;BRKIĆ;JANKOVIĆ;KOCIĆ;LUKAČ;ŠUNIĆ;MILOŠEVIĆ;PETRIĆ
Brodsko-posavska;Općina;Stara Gradiška;MATOKANOVIĆ;GUBEROVIĆ;HRDŽIĆ;VALENTIĆ;PAVIŠIĆ;RAFAJAC;SJEVERAC;FILJEVIĆ;NEZIĆ;PAUŠIĆ
Brodsko-posavska;Općina;Staro Petrovo Selo;BABIĆ;ŠIMUNOVIĆ;IVANIŠEVIĆ;CINDRIĆ;TURKALJ;RADOŠIĆ;VLAINIĆ;MAGDIĆ;ŠPANIĆ;JELIĆ
Brodsko-posavska;Općina;Velika Kopanica;ERGOTIĆ;PETRIČEVIĆ;VUKOVAC;VUČKOVIĆ;KOVAČEVIĆ;RADIČEVIĆ;ILAKOVAC;LOLIĆ;DIVIĆ;MATASOVIĆ
Brodsko-posavska;Općina;Vrbje;MATIJEVIĆ;STRINAVIĆ;JURIŠIĆ;TOMAŠIĆ;STIPANČEVIĆ;BRKANAC;GUBIĆ;BOŠNJAK;KARAKAŠIĆ;ADŽIĆ
Brodsko-posavska;Općina;Vrpolje;ZMAIĆ;BIRTIĆ;FUNARIĆ;KNEŽEVIĆ;BOŠNJAKOVIĆ;MARIĆ;BOGDANOVIĆ;TUNUKOVIĆ;BARUKČIĆ;KARALIĆ
Zadarska; ;;KNEŽEVIĆ;ŠARIĆ;ZRILIĆ;JURJEVIĆ;ZUBČIĆ;BAŠIĆ;BRKIĆ;NEKIĆ;ŠKARA;MILETIĆ
Zadarska;Grad;Benkovac;ZRILIĆ;BAŠIĆ;ČIRJAK;MARIĆ;JURJEVIĆ;VRSALJKO;ČAČIĆ;LEDENKO;VRKIĆ;KARDUM
Zadarska;Grad;Biograd na Moru;ŠARIĆ;BIRKIĆ;PEŠIĆ;MIKULIĆ;KNEZ;TOLIĆ;FILIPOVIĆ;ZRILIĆ;MRŠIĆ;MOROŽIN
Zadarska;Grad;Nin;PEROŠ;PEŠA;PAVLOVIĆ;KNEŽEVIĆ;STULIĆ;PROROKOVIĆ;ŠKIBOLA;MAGAŠ;GLAVAN;ŠTULIĆ
Zadarska;Grad;Obrovac;JURJEVIĆ;KARAMARKO;BRKIĆ;ŽUPAN;ANIĆ;VESELINOVIĆ;KLANAC;ZELIĆ;BAŠIĆ;VRKIĆ
Zadarska;Grad;Pag;FABIJANIĆ;MARŽIĆ;SABALIĆ;ŠKODA;DONADIĆ;OGUIĆ;BULJANOVIĆ;FESTINI;JURČEVIĆ;KUSTIĆ
Zadarska;Grad;Zadar;KNEŽEVIĆ;JURJEVIĆ;ZRILIĆ;BAJLO;VUKIĆ;PERIĆ;ZUBČIĆ;VRKIĆ;ŠARIĆ;MARIĆ
Zadarska;Općina;Bibinje;LISICA;SIKIRIĆ;ŠIMUNIĆ;BUGARIJA;REŽAN;SORIĆ;ŠINDIJA;KARABAN;KERO;LONIĆ
Zadarska;Općina;Galovac;BURČUL;GULAN;ŠARE;ČAKARUN;VUJEVIĆ;BUČIĆ;TOKIĆ;KOVAČ;VUKŠA;JOVANČEVIĆ
Zadarska;Općina;Gračac;TOMIĆ;RAĐENOVIĆ;ANDRIĆ;DUKIĆ;FILIPOVIĆ;BABIĆ;GRMAČA;LUKIĆ;MAJSTOROVIĆ;BRKIĆ
Zadarska;Općina;Jasenice;BARIČEVIĆ;ŠARLIJA;MARUNA;RONČEVIĆ;NEKIĆ;ŠIMIČEVIĆ;BASA;VULIĆ;KNEŽEVIĆ;MATEK
Zadarska;Općina;Kali;KOLEGA;VIDOV;KURTIN;GOBIN;KONČURAT;BLASLOV;MIŠLOV;VITLOV;ŠKOLJAREV;LONGIN
Zadarska;Općina;Kolan;ŠUPRAHA;GLIGORA;ČEMELJIĆ;OŠTARIĆ;ZUBOVIĆ;PALADINA;PRTORIĆ;TAUZER;ŠUGAR;ŠULJIĆ
Zadarska;Općina;Kukljica;MAVRA;MARTINOVIĆ;MEŠTRIĆ;VOJVODIĆ;BOSOTINA;BAČIĆ;LISICA;MILIĆ;BENIĆ;JOJA
Zadarska;Općina;Lišane Ostrovičke;NIMAC;MAMIĆ;MIJIĆ;ŠIMUNAC;RADAŠ;KALCINA;STIPIĆ;DEVIĆ;PLAZINA;ATLAGIĆ
Zadarska;Općina;Novigrad;ZUBČIĆ;ČULINA;PEDIĆ;BUTERIN;BATUR;VIDUKA;KLAPAN;KOKIĆ;BARABA;BAKIĆ
Zadarska;Općina;Pakoštane;BAREŠIĆ;STOJANOV;VULIN;MAKSAN;ŠARIĆ;KAZIJA;ČUDINA;LOKIN;KURTOV;KRPETA
Zadarska;Općina;Pašman;JUREŠKO;PEDIŠIĆ;BAČINIĆ;KRALJEV;BENČIĆ;MEDIĆ;ŠKROKOV;ĆOSIĆ;KUŠTERA;MAGIĆ
Zadarska;Općina;Polača;BOBANOVIĆ;PRTENJAČA;KULAŠ;PERAIĆ;RAŽNJEVIĆ;ŽEPINA;GALAC;VRANKULJ;ZANIĆ;ŠKARA
Zadarska;Općina;Poličnik;BALJAK;SURAĆ;ZDRILIĆ;UKALOVIĆ;BARIĆ;KOVAČEVIĆ;MARINOVIĆ;KEVRIĆ;JUKIĆ;ALIĆ
Zadarska;Općina;Posedarje;KNEŽEVIĆ;KLANAC;NEKIĆ;BRALA;CRNJAK;KALAC;LERGA;ŽUŽA;MIJOLOVIĆ;ŠALINA
Zadarska;Općina;Povljana;ŠKODA;RUMORA;TIČIĆ;POGORILIĆ;RUKAVINA;BAČIĆ;VUČKOVIĆ;ORLIĆ;JURIŠIĆ;LOVREN
Zadarska;Općina;Preko;GREGOV;SORIĆ;DUNATOV;KOŠTA;IVANOV;DORKIN;LONČAR;MARCELIĆ;MAŠINA;PAVIN
Zadarska;Općina;Privlaka;GLAVAN;BEGONJA;GRBIĆ;MUSTAĆ;ŠANGO;SKOBLAR;KRŠLOVIĆ;SURIĆ;KOLANOVIĆ;ZANKI
Zadarska;Općina;Ražanac;MIOČIĆ;JOVIĆ;MILETIĆ;DUNDOVIĆ;DUŠEVIĆ;MATAK;PERKOVIĆ;KOŽUL;RUDIĆ;MARUŠIĆ
Zadarska;Općina;Sali;RALJEVIĆ;ŠPRALJA;PETEŠIĆ;ŠEŠELJA;DOMINIS;RAMOV;ŠKIFIĆ;BASIOLI;LORDANIĆ;MIHIĆ
Zadarska;Općina;Stankovci;MORIĆ;ORLOVIĆ;PERICA;KLARIĆ;MILETIĆ;VUNIĆ;BRČIĆ;PELAIĆ;SAVIĆ;BAKOVIĆ
Zadarska;Općina;Starigrad;MARASOVIĆ;MILOVAC;JURLINA;BUCIĆ;RAMIĆ;JUKIĆ;BUŠLJETA;KNEŽEVIĆ;SMOKROVIĆ;DOKOZA
Zadarska;Općina;Sukošan;SMOLIĆ;PAVIĆ;TORBARINA;DIJAN;NADINIĆ;ŠTEVANJA;DEVIĆ;RASPOVIĆ;JERAK;GRGINOVIĆ
Zadarska;Općina;Sveti Filip i Jakov;GALEŠIĆ;COLIĆ;EŠKINJA;SANTINI;KATUŠA;MANDIĆ;PEDISIĆ;BARIČIĆ;MITROVIĆ;MIKULIĆ
Zadarska;Općina;Škabrnja;ŠKARA;RAŽOV;IVKOVIĆ;BILAVER;GOSPIĆ;PAVIČIĆ;JURIĆ;BRKIĆ;ŽILIĆ;KARDUM
Zadarska;Općina;Tkon;UGRINIĆ;MUŠĆET;RUDIĆ;LUKAČIĆ;OSTOJIĆ;JAKOVLJEV;SMOLJAN;TITULIĆ;PALAŠKOV;ZALOVIĆ
Zadarska;Općina;Vir;VUČETIĆ;RADOVIĆ;KAPOVIĆ;BAŠIĆ;BUŠKULIĆ;BUDIJA;ŽEPINA;OLIĆ;ČEPIĆ;TOMIĆ
Zadarska;Općina;Vrsi;PREDOVAN;MARAŠ;VUKIĆ;BOŽIĆ;MARINKOVIĆ;PERINIĆ;PERKOVIĆ;PAPIĆ;JURLINA;MILUTIN
Zadarska;Općina;Zemunik Donji;PERIĆ;MARUŠIĆ;PALEKA;ŠARIĆ;ŠESTAN;ALVIR;FABIJAN;BULJAT;ŽUPAN;PINČIĆ
Osječko-baranjska; ;;KOVAČEVIĆ;HORVAT;PETROVIĆ;KOVAČ;KNEŽEVIĆ;BOŠNJAK;BABIĆ;VIDAKOVIĆ;ŽIVKOVIĆ;PAVLOVIĆ
Osječko-baranjska;Grad;Beli Manastir;HORVAT;KOVAČ;KOVAČEVIĆ;NIKOLIĆ;STOJANOVIĆ;BOŠNJAK;PETROVIĆ;MIHAJLOVIĆ;JOVANOVIĆ;VUKOVIĆ
Osječko-baranjska;Grad;Belišće;PETROVIĆ;KOVAČEVIĆ;STANKOVIĆ;BALOG;ŠPOLJARIĆ;MANDIĆ;PAVOŠEVIĆ;BARIĆ;VUKSANIĆ;PAVLOVIĆ
Osječko-baranjska;Grad;Donji Miholjac;PETROVIĆ;KOVAČEVIĆ;FALAMIĆ;HORVAT;VESELOVAC;ŠIMENIĆ;MIKIĆ;ADAMOVIĆ;ANDRAČIĆ;DOLANČIĆ
Osječko-baranjska;Grad;Đakovo;ĆURIĆ;BLAŽEVIĆ;ŠIMIĆ;ADRIĆ;KOVAČEVIĆ;DUVNJAK;JURIĆ;IVIĆ;PERIĆ;ŽIVKOVIĆ
Osječko-baranjska;Grad;Našice;KNEŽEVIĆ;BARIČEVIĆ;KOVAČEVIĆ;PUHANIĆ;AMIĆ;HORVAT;VULIĆ;JURIĆ;KRALJIK;MANDIĆ
Osječko-baranjska;Grad;Osijek;KOVAČEVIĆ;HORVAT;KOVAČ;KNEŽEVIĆ;BOŠNJAK;PETROVIĆ;MARIĆ;MIHALJEVIĆ;GRGIĆ;BABIĆ
Osječko-baranjska;Grad;Valpovo;CVENIĆ;KOVAČEVIĆ;VARŽIĆ;BEREČIĆ;BOŠNJAK;PAVOŠEVIĆ;PUŠIĆ;KOKIĆ;STANIĆ;ĐURKOVIĆ
Osječko-baranjska;Općina;Antunovac;PAVLOVIĆ;DIZDAR;HORVAT;PREKRATIĆ;ĆORIĆ;GLOGOŠKI;KLASAN;PRPIĆ;TOKIĆ;GRABIĆ
Osječko-baranjska;Općina;Bilje;HORVAT;KOVAČ;VARGA;MOLNAR;KOVAČEVIĆ;BALOG;BIRO;VALKAI;FORJAN;NAĐ
Osječko-baranjska;Općina;Bizovac;BOŠNJAK;VIDAKOVIĆ;VUKOVIĆ;GLAVAŠIĆ;NOVOSELIĆ;CVETKOVIĆ;SUDAR;RUKAVINA;GLAVAŠ;MAGUŠIĆ
Osječko-baranjska;Općina;Čeminac;HORVAT;NOVAK;FURDI;KEROVEC;PRUGOVEČKI;REŠETAR;KOVAČ;TKALEC;JUMIĆ;MILIĆ
Osječko-baranjska;Općina;Čepin;KOVAČEVIĆ;BATRNEK;BARIŠIĆ;MIHALJEVIĆ;KRSTANOVIĆ;BAGARIĆ;KLARIĆ;BABIĆ;ZDRAVČEVIĆ;GRGIĆ
Osječko-baranjska;Općina;Darda;PETROVIĆ;MIŠKOVIĆ;KOVAČ;MIHAJLOVIĆ;ĐURĐEVIĆ;HORVAT;TOT;NOVAK;MARIĆ;RADIĆ
Osječko-baranjska;Općina;Donja Motičina;BOŠNJAKOVIĆ;BATRAC;KNEŽEVIĆ;MIKIČIĆ;TOMAC;PERŠIĆ;MIHALJEVIĆ;TIČIĆ;RADAČIĆ;BIJUKLIĆ
Osječko-baranjska;Općina;Draž;BALATINAC;MATIJEVIĆ;ŠIPOŠ;MARTINOV;GOLUBOV;HORVAT;BENIĆ;DRVENTIĆ;KREKO;ĐURIN
Osječko-baranjska;Općina;Drenje;HORVAT;BARUŠIĆ;KOVAČ;BABIĆ;ŽIVKOVIĆ;HANULJAK;PETANJAK;GORSKI;MATKOVIĆ;PETROVIĆ
Osječko-baranjska;Općina;Đurđenovac;ABIČIĆ;AMIDŽIĆ;PRITIŠANAC;PAVLIĆ;LIJIĆ;KNEŽEVIĆ;FILIPOVIĆ;PAVLOVIĆ;BOŠNJAK;GLASOVAC
Osječko-baranjska;Općina;Erdut;BOJANIĆ;KOVAČEVIĆ;NEŠIĆ;POPOVIĆ;ČALOŠEVIĆ;MANDIĆ;VUKOVIĆ;GRČIĆ;JELIĆ;ILINČIĆ
Osječko-baranjska;Općina;Ernestinovo;DEŽE;VACI;KELEMEN;EĐED;JUNUŠIĆ;ROGULJIĆ;KNEŽEVIĆ;KOVAČ;RADIĆ;BECE
Osječko-baranjska;Općina;Feričanci;STOŠIĆ;JUKIĆ;VIDAKOVIĆ;BENOVIĆ;KLJAJIĆ;LOVAKOVIĆ;ZVEKAN;BENIĆ;BRKIĆ;KAPRALJEVIĆ
Osječko-baranjska;Općina;Gorjani;PERIĆ;BIRTIĆ;GREGIĆ;PAVIĆ;JAGODIĆ;RADOJKOVIĆ;ĐELATOVIĆ;IVANOVIĆ;KARALIĆ;BOGDANOVIĆ
Osječko-baranjska;Općina;Jagodnjak;MIŠKOVIĆ;PETROVIĆ;KOVAČEVIĆ;ĐURĐEVIĆ;BALOG;MRĐA;BOGDAN;ANĐELIĆ;RADANOVIĆ;SUZIĆ
